pair_id,band,paradigm,source_index,source_pair_id,prefix,suffix,good_verb,bad_verb,sentence_good,sentence_bad,good_whole_lp,good_verb_lp,good_suffix_lp,good_by_lp,good_n_scored_tokens,good_verb_tokens,bad_whole_lp,bad_verb_lp,bad_suffix_lp,bad_by_lp,bad_n_scored_tokens,bad_verb_tokens,whole_margin,verb_margin,suffix_margin,by_margin,correct
head/passive_1/10,head,passive_1,10,10,Every boyfriend wasn't , by a lot of councils.,exceeded,proceeded,Every boyfriend wasn't exceeded by a lot of councils.,Every boyfriend wasn't proceeded by a lot of councils.,-62.660295367240906,-16.163192749023438,-25.783269226551056,-1.343689203262329,10,1,-61.399831131100655,-17.031356811523438,-23.654640927910805,-0.9123444557189941,10,1,-1.2604642361402512,0.8681640625,-2.128628298640251,-0.43134474754333496,0
head/passive_1/11,head,passive_1,11,11,Stephen's grandmother isn't , by those titans.,forbidden,complained,Stephen's grandmother isn't forbidden by those titans.,Stephen's grandmother isn't complained by those titans.,-60.56454075872898,-12.62781810760498,-27.04108166694641,-3.204977512359619,10,1,-64.49375046789646,-14.79969310760498,-28.79841637611389,-6.033438205718994,10,1,3.9292097091674805,2.171875,1.7573347091674805,2.828460693359375,1
head/passive_1/12,head,passive_1,12,12,Some referee wasn't , by a lot of farmers.,posted,screamed,Some referee wasn't posted by a lot of farmers.,Some referee wasn't screamed by a lot of farmers.,-56.24742950499058,-10.206725120544434,-24.840992629528046,-5.302601337432861,10,1,-58.28494547307491,-13.456725120544434,-23.62850859761238,-4.426316261291504,10,1,2.0375159680843353,3.25,-1.2124840319156647,-0.8762850761413574,1
head/passive_1/13,head,passive_1,13,13,Andrea isn't , by Irene.,avoided,responded,Andrea isn't avoided by Irene.,Andrea isn't responded by Irene.,-45.122195333242416,-14.9765625,-15.589869499206543,-1.4054570198059082,7,1,-44.07133623957634,-13.03125,-16.484322905540466,-3.8206872940063477,7,1,-1.0508590936660767,-1.9453125,0.8944534063339233,2.4152302742004395,0
head/passive_1/14,head,passive_1,14,14,A lot of actors were , by a tale.,educated,laughed,A lot of actors were educated by a tale.,A lot of actors were laughed by a tale.,-53.434236779809,-9.118570327758789,-25.509913206100464,-4.077572822570801,9,1,-55.69862224161625,-9.993570327758789,-26.899298667907715,-5.4978203773498535,9,1,2.264385461807251,0.875,1.389385461807251,1.4202475547790527,1
head/passive_1/15,head,passive_1,15,15,Eric was , by some opportunity.,comprised,progressed,Eric was comprised by some opportunity.,Eric was progressed by some opportunity.,-43.92582893371582,-12.029293060302734,-26.93895149230957,-5.1915388107299805,6,1,-43.40807247161865,-14.392574310302734,-24.057913780212402,-3.6996374130249023,6,1,-0.517756462097168,2.36328125,-2.881037712097168,-1.4919013977050781,0
head/passive_1/16,head,passive_1,16,16,The association wasn't , by all criminals.,inspected,competed,The association wasn't inspected by all criminals.,The association wasn't competed by all criminals.,-52.50238651037216,-11.920242309570312,-22.075992584228516,-1.348887324333191,8,1,-49.621088445186615,-12.201492309570312,-18.91344451904297,-1.8882533311843872,8,1,-2.881298065185547,0.28125,-3.162548065185547,0.5393660068511963,0
head/passive_1/17,head,passive_1,17,17,Mothers of every woman are , by some ex-girlfriend.,elevated,complained,Mothers of every woman are elevated by some ex-girlfriend.,Mothers of every woman are complained by some ex-girlfriend.,-60.14533254504204,-10.220094680786133,-27.30973979830742,-2.350015163421631,13,1,-61.54075479507446,-13.110719680786133,-25.814537048339844,-4.1204047203063965,13,1,1.395422250032425,2.890625,-1.495202749967575,1.7703895568847656,1
head/passive_1/18,head,passive_1,18,18,Walter is , by that pricing.,reserved,responded,Walter is reserved by that pricing.,Walter is responded by that pricing.,-44.234293699264526,-9.9957857131958,-26.352930307388306,-4.384143829345703,7,1,-46.9081906080246,-13.0739107131958,-25.948702216148376,-1.8290218114852905,7,1,2.673896908760071,3.078125,-0.4042280912399292,-2.5551220178604126,1
head/passive_1/19,head,passive_1,19,19,The comrade wasn't , by a coordinator.,deemed,occurred,The comrade wasn't deemed by a coordinator.,The comrade wasn't occurred by a coordinator.,-57.997900158166885,-11.585214614868164,-25.9702091217041,-5.248084545135498,9,1,-56.82407370209694,-16.466073989868164,-19.915523290634155,-3.772620677947998,9,1,-1.1738264560699463,4.880859375,-6.054685831069946,-1.4754638671875,0
head/passive_1/20,head,passive_1,20,20,The monuments weren't , by the patriot.,certified,existed,The monuments weren't certified by the patriot.,The monuments weren't existed by the patriot.,-52.46496820449829,-11.346296310424805,-19.37958002090454,-2.464357614517212,8,1,-57.53864645957947,-13.393171310424805,-22.406383275985718,-4.01760721206665,8,1,5.073678255081177,2.046875,3.0268032550811768,1.5532495975494385,1
head/passive_1/21,head,passive_1,21,21,Some daddy was , by every bankrupt.,overrated,laughed,Some daddy was overrated by every bankrupt.,Some daddy was laughed by every bankrupt.,-59.226298570632935,-13.80672550201416,-26.888498067855835,-4.878566741943359,8,2,-57.74518275260925,-10.300576210021973,-28.91353154182434,-6.464472770690918,7,1,-1.4811158180236816,-3.5061492919921875,2.025033473968506,1.5859060287475586,0
head/passive_1/22,head,passive_1,22,22,These liberals weren't , by the tease.,insured,competed,These liberals weren't insured by the tease.,These liberals weren't competed by the tease.,-52.693888425827026,-11.627276420593262,-21.797097325325012,-3.2528910636901855,9,1,-57.652114510536194,-14.978838920593262,-23.40376091003418,-3.187638759613037,9,1,4.9582260847091675,3.3515625,1.6066635847091675,-0.06525230407714844,1
head/passive_1/23,head,passive_1,23,23,Some backbone isn't , by that anti.,overrated,existed,Some backbone isn't overrated by that anti.,Some backbone isn't existed by that anti.,-59.34409362077713,-8.566265225410461,-29.621079921722412,-4.415322780609131,9,2,-60.754718482494354,-12.068766593933105,-27.529203414916992,-3.993201732635498,8,1,1.4106248617172241,3.502501368522644,-2.09187650680542,-0.4221210479736328,1
head/passive_1/24,head,passive_1,24,24,Many devils are , by this legislature.,nominated,reacted,Many devils are nominated by this legislature.,Many devils are reacted by this legislature.,-43.85295760631561,-11.468873977661133,-17.808921813964844,-2.562197685241699,8,1,-52.17482841014862,-15.565553665161133,-22.03411293029785,-2.541179656982422,8,1,8.321870803833008,4.0966796875,4.225191116333008,-0.021018028259277344,1
head/passive_1/25,head,passive_1,25,25,A liar isn't , by this courier.,conceived,progressed,A liar isn't conceived by this courier.,A liar isn't progressed by this courier.,-53.565937638282776,-11.254843711853027,-23.24650400876999,-2.7036304473876953,9,1,-59.08211499452591,-14.207968711853027,-25.809556365013123,-2.8106460571289062,9,1,5.5161773562431335,2.953125,2.5630523562431335,0.10701560974121094,1
head/passive_1/26,head,passive_1,26,26,These cards aren't , by many makers.,credited,vanished,These cards aren't credited by many makers.,These cards aren't vanished by many makers.,-43.80246540904045,-10.390050888061523,-19.4822039604187,-3.827974557876587,8,1,-50.901351660490036,-14.503332138061523,-22.467808961868286,-3.8082613945007324,8,1,7.098886251449585,4.11328125,2.985605001449585,-0.019713163375854492,1
head/passive_1/27,head,passive_1,27,27,All nationalists aren't , by every party.,loved,remained,All nationalists aren't loved by every party.,All nationalists aren't remained by every party.,-43.17030346393585,-9.152337074279785,-11.804211974143982,-1.4790832996368408,9,1,-57.400193095207214,-15.919915199279785,-19.266523480415344,-5.680186748504639,9,1,14.229889631271362,6.767578125,7.462311506271362,4.201103448867798,1
head/passive_1/28,head,passive_1,28,28,Some dolly wasn't , by some nationalist.,evacuated,existed,Some dolly wasn't evacuated by some nationalist.,Some dolly wasn't existed by some nationalist.,-63.82709185779095,-12.361867904663086,-26.525649785995483,-3.9535892009735107,9,1,-63.49290053546429,-12.783742904663086,-25.769583463668823,-4.37383508682251,9,1,-0.33419132232666016,0.421875,-0.7560663223266602,0.420245885848999,0
head/passive_1/29,head,passive_1,29,29,Grandchildren aren't , by all gangs.,executed,competed,Grandchildren aren't executed by all gangs.,Grandchildren aren't competed by all gangs.,-51.85114598274231,-11.576452255249023,-23.651552319526672,-3.7921266555786133,8,1,-53.79014205932617,-13.748327255249023,-23.418673396110535,-3.6769137382507324,8,1,1.9389960765838623,2.171875,-0.2328789234161377,-0.11521291732788086,1
head/passive_1/30,head,passive_1,30,30,The oaks are , by the dealer.,diagnosed,existed,The oaks are diagnosed by the dealer.,The oaks are existed by the dealer.,-47.159199357032776,-14.795761108398438,-17.388474583625793,-1.867621898651123,8,1,-48.65755331516266,-14.186386108398438,-19.496203541755676,-3.7141878604888916,8,1,1.4983539581298828,-0.609375,2.107728958129883,1.8465659618377686,1
head/passive_1/31,head,passive_1,31,31,The engineers are , by every ceramic.,treated,responded,The engineers are treated by every ceramic.,The engineers are responded by every ceramic.,-53.4076030254364,-10.283233642578125,-29.825616359710693,-4.797640323638916,7,1,-54.334351539611816,-14.228546142578125,-26.80705237388611,-1.7872989177703857,7,1,0.926748514175415,3.9453125,-3.018563985824585,-3.0103414058685303,1
head/passive_1/32,head,passive_1,32,32,Some optic was , by the jonah.,poisoned,emerged,Some optic was poisoned by the jonah.,Some optic was emerged by the jonah.,-53.798567056655884,-10.670326232910156,-23.154412508010864,-2.141749858856201,9,1,-59.44023680686951,-12.967201232910156,-26.499207258224487,-4.461602210998535,9,1,5.641669750213623,2.296875,3.344794750213623,2.319852352142334,1
head/passive_1/33,head,passive_1,33,33,That banker was , by the feed.,inserted,arrived,That banker was inserted by the feed.,That banker was arrived by the feed.,-48.86091113090515,-12.164877891540527,-20.57649278640747,-3.0903384685516357,7,1,-51.59711456298828,-11.977377891540527,-23.5001962184906,-4.999549865722656,7,1,2.73620343208313,-0.1875,2.92370343208313,1.9092113971710205,1
head/passive_1/34,head,passive_1,34,34,Every membrane is , by this economist.,reduced,proceeded,Every membrane is reduced by this economist.,Every membrane is proceeded by this economist.,-45.63326835632324,-9.081042289733887,-24.588393449783325,-3.2082862854003906,7,1,-49.81109142303467,-14.534167289733887,-23.31309151649475,-0.6175309419631958,7,1,4.177823066711426,5.453125,-1.2753019332885742,-2.590755343437195,1
head/passive_1/35,head,passive_1,35,35,All vendors aren't , by every junior.,controlled,arrived,All vendors aren't controlled by every junior.,All vendors aren't arrived by every junior.,-51.593182653188705,-8.288519859313965,-23.100499659776688,-0.36277130246162415,8,1,-60.61334353685379,-13.601019859313965,-26.808160543441772,-5.4006829261779785,8,1,9.020160883665085,5.3125,3.707660883665085,5.037911623716354,1
head/passive_1/36,head,passive_1,36,36,The sonny isn't , by Joel.,ruined,died,The sonny isn't ruined by Joel.,The sonny isn't died by Joel.,-54.5257363319397,-11.48726749420166,-19.289835453033447,-2.9412894248962402,8,1,-58.60019874572754,-11.86226749420166,-22.98929786682129,-6.82706356048584,8,1,4.074462413787842,0.375,3.699462413787842,3.8857741355895996,1
head/passive_1/37,head,passive_1,37,37,That devil wasn't , by Timothy.,paid,struggled,That devil wasn't paid by Timothy.,That devil wasn't struggled by Timothy.,-43.68954214453697,-8.070646286010742,-16.970482110977173,-3.5242080688476562,7,1,-55.00371226668358,-17.258146286010742,-19.09715223312378,-4.875547409057617,7,1,11.314170122146606,9.1875,2.1266701221466064,1.351339340209961,1
head/passive_1/38,head,passive_1,38,38,Most fries are , by a lot of singers.,related,remarked,Most fries are related by a lot of singers.,Most fries are remarked by a lot of singers.,-53.90155705809593,-10.41543197631836,-27.12341997027397,-3.8379416465759277,10,1,-53.36958435177803,-14.66543197631836,-22.34144726395607,-2.7659573554992676,10,1,-0.5319727063179016,4.25,-4.781972706317902,-1.0719842910766602,0
head/passive_1/39,head,passive_1,39,39,These firefighters aren't , by all devils.,tagged,emerged,These firefighters aren't tagged by all devils.,These firefighters aren't emerged by all devils.,-57.225387156009674,-12.910821914672852,-24.69533681869507,-3.1692452430725098,9,1,-59.84542351961136,-15.160821914672852,-25.065373182296753,-4.86061429977417,9,1,2.6200363636016846,2.25,0.37003636360168457,1.6913690567016602,1
head/passive_1/40,head,passive_1,40,40,A lot of tiles weren't , by a missionary's boyfriend.,furnished,vanished,A lot of tiles weren't furnished by a missionary's boyfriend.,A lot of tiles weren't vanished by a missionary's boyfriend.,-69.28467352688313,-10.612554550170898,-31.75288486480713,-4.194868087768555,12,1,-76.36759097874165,-13.128179550170898,-36.32017731666565,-4.217283248901367,12,1,7.0829174518585205,2.515625,4.5672924518585205,0.0224151611328125,1
head/passive_1/41,head,passive_1,41,41,The sibling isn't , by professionals.,comprised,struggled,The sibling isn't comprised by professionals.,The sibling isn't struggled by professionals.,-50.75132888555527,-12.363661766052246,-16.995839953422546,-3.561593770980835,7,1,-55.18903309106827,-16.05506706237793,-17.742138862609863,-4.230052947998047,7,1,4.4377042055130005,3.6914052963256836,0.7462989091873169,0.6684591770172119,1
head/passive_1/42,head,passive_1,42,42,This coward wasn't , by a franklin.,proclaimed,existed,This coward wasn't proclaimed by a franklin.,This coward wasn't existed by a franklin.,-61.65077541768551,-14.453550338745117,-25.717124700546265,-3.338981866836548,9,1,-62.62184761464596,-14.828550338745117,-26.313196897506714,-4.034372806549072,9,1,0.9710721969604492,0.375,0.5960721969604492,0.6953909397125244,1
head/passive_1/43,head,passive_1,43,43,This defendant is , by a visa.,qualified,died,This defendant is qualified by a visa.,This defendant is died by a visa.,-37.37304997444153,-8.987640380859375,-17.782227277755737,-2.861191511154175,7,1,-47.33670997619629,-14.018890380859375,-22.714637279510498,-3.423434257507324,7,1,9.96366000175476,5.03125,4.932410001754761,0.5622427463531494,1
head/passive_1/44,head,passive_1,44,44,This photographer was , by a finch.,pursued,responded,This photographer was pursued by a finch.,This photographer was responded by a finch.,-41.50534963607788,-11.290498733520508,-15.459070682525635,-0.5370362997055054,8,1,-48.92456531524658,-13.462373733520508,-20.706411361694336,-2.595745801925659,8,1,7.419215679168701,2.171875,5.247340679168701,2.058709502220154,1
head/passive_1/45,head,passive_1,45,45,The remote was , by Ruth.,possessed,existed,The remote was possessed by Ruth.,The remote was existed by Ruth.,-40.33044511079788,-10.217716217041016,-13.623238861560822,-0.8595450520515442,6,1,-49.796087980270386,-15.248966217041016,-18.057631731033325,-3.2369441986083984,6,1,9.465642869472504,5.03125,4.434392869472504,2.3773991465568542,1
head/passive_1/46,head,passive_1,46,46,All senators aren't , by some controllers.,infected,competed,All senators aren't infected by some controllers.,All senators aren't competed by some controllers.,-56.57738238573074,-9.503679275512695,-26.14000177383423,-2.9414877891540527,8,1,-61.16272622346878,-14.831804275512695,-25.397220611572266,-2.7043421268463135,8,1,4.585343837738037,5.328125,-0.7427811622619629,-0.23714566230773926,1
head/passive_1/47,head,passive_1,47,47,Most physicians were , by Catherine.,spared,replied,Most physicians were spared by Catherine.,Most physicians were replied by Catherine.,-43.78005075454712,-10.116338729858398,-19.43106174468994,-3.8056912422180176,6,1,-46.1796772480011,-14.147588729858398,-17.79943823814392,-2.3666155338287354,6,1,2.3996264934539795,4.03125,-1.6316235065460205,-1.4390757083892822,1
head/passive_1/48,head,passive_1,48,48,This father is , by the quarantine.,weighed,occurred,This father is weighed by the quarantine.,This father is occurred by the quarantine.,-43.45372885465622,-11.68801498413086,-20.065306842327118,-3.396089792251587,8,1,-45.48307357728481,-15.36965560913086,-18.41301093995571,-3.027878761291504,8,1,2.0293447226285934,3.681640625,-1.6522959023714066,-0.368211030960083,1
head/passive_1/49,head,passive_1,49,49,Winston Churchill was , by a prince.,blamed,arrived,Winston Churchill was blamed by a prince.,Winston Churchill was arrived by a prince.,-41.485631227493286,-9.832691192626953,-19.345411777496338,-2.5839948654174805,8,1,-43.58766317367554,-11.145191192626953,-20.13494372367859,-3.6736044883728027,8,1,2.102031946182251,1.3125,0.789531946182251,1.0896096229553223,1
head/passive_1/50,head,passive_1,50,50,All runners aren't , by those advisers.,enlisted,competed,All runners aren't enlisted by those advisers.,All runners aren't competed by those advisers.,-53.46809458732605,-11.086865425109863,-22.448572397232056,-2.837853193283081,8,1,-52.835490703582764,-10.149365425109863,-22.75346851348877,-3.562044620513916,8,1,-0.6326038837432861,-0.9375,0.30489611625671387,0.724191427230835,0
head/passive_1/51,head,passive_1,51,51,Danielle wasn't , by some major.,expelled,struggled,Danielle wasn't expelled by some major.,Danielle wasn't struggled by some major.,-50.06940746307373,-12.353468894958496,-25.525134086608887,-4.866005897521973,8,1,-53.631986141204834,-17.23237419128418,-24.208807468414307,-4.5544843673706055,8,1,3.5625786781311035,4.878905296325684,-1.31632661819458,-0.3115215301513672,1
head/passive_1/52,head,passive_1,52,52,This exile was , by some mechanic.,inspected,screamed,This exile was inspected by some mechanic.,This exile was screamed by some mechanic.,-50.29363912343979,-12.755254745483398,-22.461327016353607,-0.8017248511314392,7,1,-51.80381464958191,-14.442754745483398,-22.284002542495728,-1.3363912105560303,7,1,1.5101755261421204,1.6875,-0.17732447385787964,0.5346663594245911,1
head/passive_1/53,head,passive_1,53,53,A guest is , by these truths.,defended,struggled,A guest is defended by these truths.,A guest is struggled by these truths.,-45.45906901359558,-12.2546968460083,-18.352856397628784,-0.8535090684890747,7,1,-47.561960220336914,-13.5203218460083,-19.190122604370117,-3.582430839538574,7,1,2.102891206741333,1.265625,0.837266206741333,2.7289217710494995,1
head/passive_1/54,head,passive_1,54,54,That liberal is , by the publishers' ex-girlfriend.,packed,screamed,That liberal is packed by the publishers' ex-girlfriend.,That liberal is screamed by the publishers' ex-girlfriend.,-68.04718786478043,-12.302854537963867,-39.239095747470856,-5.7851996421813965,12,1,-67.37675696611404,-13.334104537963867,-37.537414848804474,-2.465745449066162,12,1,-0.6704308986663818,1.03125,-1.7016808986663818,-3.3194541931152344,0
head/passive_1/55,head,passive_1,55,55,Nina is , by Benjamin.,certified,complained,Nina is certified by Benjamin.,Nina is complained by Benjamin.,-40.67891550064087,-9.333419799804688,-18.658810138702393,-1.7586817741394043,6,1,-41.82182288169861,-13.731857299804688,-15.403280019760132,-2.9496374130249023,6,1,1.1429073810577393,4.3984375,-3.2555301189422607,1.190955638885498,1
head/passive_1/56,head,passive_1,56,56,These tenants' colleague is , by some packers.,scaled,replied,These tenants' colleague is scaled by some packers.,These tenants' colleague is replied by some packers.,-74.21139192581177,-15.973698616027832,-26.028976678848267,-4.022937774658203,10,1,-72.8299572467804,-13.516667366027832,-27.104573249816895,-2.4583539962768555,10,1,-1.381434679031372,-2.45703125,1.075596570968628,-1.5645837783813477,0
head/passive_1/57,head,passive_1,57,57,That platoon isn't , by every stab.,cheated,testified,That platoon isn't cheated by every stab.,That platoon isn't testified by every stab.,-59.05550757050514,-13.695673704147339,-23.536927700042725,-3.3061909675598145,10,2,-66.6289567053318,-17.064453125,-27.741597414016724,-4.056986331939697,9,1,7.57344913482666,3.368779420852661,4.204669713973999,0.7507953643798828,1
head/passive_1/58,head,passive_1,58,58,This prof is , by every librarian.,robbed,struggled,This prof is robbed by every librarian.,This prof is struggled by every librarian.,-51.081303007900715,-12.62143325805664,-23.9573687389493,-2.227015972137451,8,1,-52.88951225578785,-14.71518325805664,-23.671827986836433,-4.710628986358643,8,1,1.8082092478871346,2.09375,-0.28554075211286545,2.4836130142211914,1
head/passive_1/59,head,passive_1,59,59,Some growers are , by these institutes.,completed,arrived,Some growers are completed by these institutes.,Some growers are arrived by these institutes.,-49.01804321818054,-14.022236824035645,-21.817671475932002,-3.807102680206299,9,1,-51.38135104253888,-15.037861824035645,-23.165354300290346,-4.57143497467041,9,1,2.363307824358344,1.015625,1.347682824358344,0.7643322944641113,1
head/passive_1/60,head,passive_1,60,60,Those travelers were , by the delivery.,deposited,responded,Those travelers were deposited by the delivery.,Those travelers were responded by the delivery.,-43.56470704078674,-8.862839698791504,-20.40242099761963,-3.5753962993621826,7,1,-46.2540899515152,-12.097214698791504,-19.857428908348083,-3.6947550773620605,7,1,2.6893829107284546,3.234375,-0.5449920892715454,0.11935877799987793,1
head/passive_1/61,head,passive_1,61,61,Some light wasn't , by Gerald.,seized,emerged,Some light wasn't seized by Gerald.,Some light wasn't emerged by Gerald.,-48.037429586052895,-13.185845375061035,-17.605461359024048,-2.4495811462402344,7,1,-51.15311290323734,-14.232720375061035,-19.674269676208496,-4.64251184463501,7,1,3.1156833171844482,1.046875,2.0688083171844482,2.1929306983947754,1
head/passive_1/62,head,passive_1,62,62,That spoiler isn't , by Dana.,renamed,remarked,That spoiler isn't renamed by Dana.,That spoiler isn't remarked by Dana.,-48.831775695085526,-12.14391803741455,-19.145994186401367,-4.714445114135742,8,1,-47.548821955919266,-13.15954303741455,-16.847415447235107,-3.5838117599487305,8,1,-1.2829537391662598,1.015625,-2.2985787391662598,-1.1306333541870117,0
head/passive_1/63,head,passive_1,63,63,This gentleman wasn't , by Florence.,standardized,remarked,This gentleman wasn't standardized by Florence.,This gentleman wasn't remarked by Florence.,-50.758198618888855,-15.456168174743652,-18.254903554916382,-4.356874465942383,7,1,-47.288816809654236,-14.538199424743652,-15.703490495681763,-3.217250108718872,7,1,-3.469381809234619,-0.91796875,-2.551413059234619,-1.1396243572235107,0
head/passive_1/64,head,passive_1,64,64,Robert isn't , by the shooter.,curved,emerged,Robert isn't curved by the shooter.,Robert isn't emerged by the shooter.,-46.42331573367119,-15.346864700317383,-20.90554189682007,-5.110815048217773,7,1,-46.11109122633934,-14.288270950317383,-21.65191113948822,-6.015711784362793,7,1,-0.31222450733184814,-1.05859375,0.7463692426681519,0.9048967361450195,0
head/passive_1/65,head,passive_1,65,65,The benedict isn't , by Dan.,sacked,laughed,The benedict isn't sacked by Dan.,The benedict isn't laughed by Dan.,-53.38811384141445,-12.829885482788086,-16.801491498947144,-4.14787483215332,10,2,-57.486775025725365,-13.312281608581543,-20.4177565574646,-7.232664585113525,9,1,4.098661184310913,0.48239612579345703,3.616265058517456,3.084789752960205,1
head/passive_1/66,head,passive_1,66,66,Some publisher's father wasn't , by that friend of retailers.,cultivated,died,Some publisher's father wasn't cultivated by that friend of retailers.,Some publisher's father wasn't died by that friend of retailers.,-78.92268731328659,-13.585542678833008,-34.2493782043457,-4.056286811828613,12,1,-79.940735361306,-12.491792678833008,-36.36117625236511,-4.3203582763671875,12,1,1.0180480480194092,-1.09375,2.111798048019409,0.2640714645385742,1
head/passive_1/67,head,passive_1,67,67,The ex-girlfriends are , by all freaks.,parked,replied,The ex-girlfriends are parked by all freaks.,The ex-girlfriends are replied by all freaks.,-61.26331001520157,-10.277414321899414,-30.950032711029053,-4.480758190155029,11,1,-56.92314034700394,-14.214914321899414,-22.67236304283142,-1.9389539957046509,11,1,-4.340169668197632,3.9375,-8.277669668197632,-2.5418041944503784,0
head/passive_1/68,head,passive_1,68,68,Psychologists were , by most refugees.,monitored,competed,Psychologists were monitored by most refugees.,Psychologists were competed by most refugees.,-44.70697748661041,-9.755091667175293,-25.669577717781067,-1.980855107307434,7,1,-52.67125201225281,-14.426966667175293,-28.961977243423462,-3.2146353721618652,7,1,7.964274525642395,4.671875,3.292399525642395,1.2337802648544312,1
head/passive_1/69,head,passive_1,69,69,A critic wasn't , by Alice.,retrieved,complained,A critic wasn't retrieved by Alice.,A critic wasn't complained by Alice.,-51.487319469451904,-14.265445709228516,-15.32274580001831,-2.7124247550964355,7,1,-50.3697829246521,-11.492008209228516,-16.978646755218506,-4.635361194610596,7,1,-1.1175365447998047,-2.7734375,1.6559009552001953,1.9229364395141602,0
head/passive_1/70,head,passive_1,70,70,Nancy wasn't , by Angela.,allocated,testified,Nancy wasn't allocated by Angela.,Nancy wasn't testified by Angela.,-46.98115848004818,-13.633980751037598,-16.443188428878784,-5.299882411956787,7,1,-46.6365994066,-15.977730751037598,-13.754879355430603,-3.237654209136963,7,1,-0.34455907344818115,2.34375,-2.688309073448181,-2.062228202819824,0
